"Label (Grouping)","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher"
"        Estimate","313,867","14,606","17,838","87,440","56,315","25,507","56,384","55,777","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","4.7%","5.7%","27.9%","17.9%","8.1%","18.0%","17.8%","89.7%","35.7%"
"New London County, Connecticut","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","187,622","4,114","9,560","57,606","39,606","15,775","34,079","26,882","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","2.2%","5.1%","30.7%","21.1%","8.4%","18.2%","14.3%","92.7%","32.5%"
"    Males","","","","","","","","","",""
"        Estimate","90,860","1,565","4,647","27,456","21,805","6,438","16,108","12,841","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","1.7%","5.1%","30.2%","24.0%","7.1%","17.7%","14.1%","93.2%","31.9%"
"    Females","","","","","","","","","",""
"        Estimate","96,762","2,549","4,913","30,150","17,801","9,337","17,971","14,041","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","2.6%","5.1%","31.2%","18.4%","9.6%","18.6%","14.5%","92.3%","33.1%"
"Tolland County, Connecticut","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","94,427","1,123","3,382","26,120","16,776","9,134","21,447","16,445","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","1.2%","3.6%","27.7%","17.8%","9.7%","22.7%","17.4%","95.2%","40.1%"
"    Males","","","","","","","","","",""
"        Estimate","46,633","644","2,041","14,362","7,936","3,415","10,578","7,657","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","1.4%","4.4%","30.8%","17.0%","7.3%","22.7%","16.4%","94.2%","39.1%"
"    Females","","","","","","","","","",""
"        Estimate","47,794","479","1,341","11,758","8,840","5,719","10,869","8,788","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","1.0%","2.8%","24.6%","18.5%","12.0%","22.7%","18.4%","96.2%","41.1%"
"Windham County, Connecticut","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","80,594","3,462","6,841","27,438","16,057","7,475","11,378","7,943","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","4.3%","8.5%","34.0%","19.9%","9.3%","14.1%","9.9%","87.2%","24.0%"
"    Males","","","","","","","","","",""
"        Estimate","39,309","2,030","3,964","15,166","8,084","2,741","4,248","3,076","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","5.2%","10.1%","38.6%","20.6%","7.0%","10.8%","7.8%","84.8%","18.6%"
"    Females","","","","","","","","","",""
"        Estimate","41,285","1,432","2,877","12,272","7,973","4,734","7,130","4,867","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","3.5%","7.0%","29.7%","19.3%","11.5%","17.3%","11.8%","89.6%","29.1%"
"Kent County, Delaware","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","116,721","5,353","9,704","41,865","23,060","10,348","16,475","9,916","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","4.6%","8.3%","35.9%","19.8%","8.9%","14.1%","8.5%","87.1%","22.6%"
"    Males","","","","","","","","","",""
"        Estimate","54,328","2,497","5,129","20,667","10,128","4,612","6,523","4,772","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","4.6%","9.4%","38.0%","18.6%","8.5%","12.0%","8.8%","86.0%","20.8%"
"    Females","","","","","","","","","",""
"        Estimate","62,393","2,856","4,575","21,198","12,932","5,736","9,952","5,144","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","4.6%","7.3%","34.0%","20.7%","9.2%","16.0%","8.2%","88.1%","24.2%"
"New Castle County, Delaware","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","381,908","10,086","22,838","120,004","66,299","27,244","78,824","56,613","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","2.6%","6.0%","31.4%","17.4%","7.1%","20.6%","14.8%","91.4%","35.5%"
"    Males","","","","","","","","","",""
"        Estimate","181,420","6,171","12,715","56,111","31,058","10,892","37,095","27,378","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","3.4%","7.0%","30.9%","17.1%","6.0%","20.4%","15.1%","89.6%","35.5%"
"    Females","","","","","","","","","",""
"        Estimate","200,488","3,915","10,123","63,893","35,241","16,352","41,729","29,235","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","2.0%","5.0%","31.9%","17.6%","8.2%","20.8%","14.6%","93.0%","35.4%"
"Sussex County, Delaware","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","163,918","6,908","15,705","50,605","32,823","14,636","26,418","16,823","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","4.2%","9.6%","30.9%","20.0%","8.9%","16.1%","10.3%","86.2%","26.4%"
"    Males","","","","","","","","","",""
"        Estimate","77,858","3,480","8,655","25,463","15,404","4,606","11,941","8,309","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","4.5%","11.1%","32.7%","19.8%","5.9%","15.3%","10.7%","84.4%","26.0%"
"    Females","","","","","","","","","",""
"        Estimate","86,060","3,428","7,050","25,142","17,419","10,030","14,477","8,514","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","4.0%","8.2%","29.2%","20.2%","11.7%","16.8%","9.9%","87.8%","26.7%"
"District of Columbia, District of Columbia","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","480,158","17,097","28,646","85,248","62,206","14,086","115,097","157,778","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","3.6%","6.0%","17.8%","13.0%","2.9%","24.0%","32.9%","90.5%","56.8%"
"    Males","","","","","","","","","",""
"        Estimate","226,729","8,139","13,341","41,159","27,041","6,051","56,069","74,929","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","3.6%","5.9%","18.2%","11.9%","2.7%","24.7%","33.0%","90.5%","57.8%"
"    Females","","","","","","","","","",""
"        Estimate","253,429","8,958","15,305","44,089","35,165","8,035","59,028","82,849","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","3.5%","6.0%","17.4%","13.9%","3.2%","23.3%","32.7%","90.4%","56.0%"
"Alachua County, Florida","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","159,567","5,427","8,861","36,949","28,233","16,734","31,185","32,178","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","3.4%","5.6%","23.2%","17.7%","10.5%","19.5%","20.2%","91.0%","39.7%"
"    Males","","","","","","","","","",""
"        Estimate","76,137","3,268","5,192","19,328","13,185","5,756","14,255","15,153","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","4.3%","6.8%","25.4%","17.3%","7.6%","18.7%","19.9%","88.9%","38.6%"
"    Females","","","","","","","","","",""
"        Estimate","83,430","2,159","3,669","17,621","15,048","10,978","16,930","17,025","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","2.6%","4.4%","21.1%","18.0%","13.2%","20.3%","20.4%","93.0%","40.7%"
"Bay County, Florida","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","128,694","2,997","8,458","42,062","33,131","12,106","19,983","9,957","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","2.3%","6.6%","32.7%","25.7%","9.4%","15.5%","7.7%","91.1%","23.3%"
"    Males","","","","","","","","","",""
"        Estimate","62,521","1,906","3,729","21,273","15,857","5,930","8,769","5,057","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","3.0%","6.0%","34.0%","25.4%","9.5%","14.0%","8.1%","91.0%","22.1%"
"    Females","","","","","","","","","",""
"        Estimate","66,173","1,091","4,729","20,789","17,274","6,176","11,214","4,900","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","1.6%","7.1%","31.4%","26.1%","9.3%","16.9%","7.4%","91.2%","24.4%"
"Brevard County, Florida","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","429,390","11,107","23,736","121,316","94,848","52,533","79,933","45,917","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","2.6%","5.5%","28.3%","22.1%","12.2%","18.6%","10.7%","91.9%","29.3%"
"    Males","","","","","","","","","",""
"        Estimate","204,595","5,205","12,076","57,763","45,879","22,390","37,787","23,495","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","2.5%","5.9%","28.2%","22.4%","10.9%","18.5%","11.5%","91.6%","30.0%"
"    Females","","","","","","","","","",""
"        Estimate","224,795","5,902","11,660","63,553","48,969","30,143","42,146","22,422","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","2.6%","5.2%","28.3%","21.8%","13.4%","18.7%","10.0%","92.2%","28.7%"
"Broward County, Florida","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","1,348,321","72,305","91,244","360,675","276,149","132,538","260,808","154,602","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","5.4%","6.8%","26.7%","20.5%","9.8%","19.3%","11.5%","87.9%","30.8%"
"    Males","","","","","","","","","",""
"        Estimate","643,418","36,003","45,472","171,898","136,851","59,661","121,107","72,426","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","5.6%","7.1%","26.7%","21.3%","9.3%","18.8%","11.3%","87.3%","30.1%"
"    Females","","","","","","","","","",""
"        Estimate","704,903","36,302","45,772","188,777","139,298","72,877","139,701","82,176","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","5.1%","6.5%","26.8%","19.8%","10.3%","19.8%","11.7%","88.4%","31.5%"
"Charlotte County, Florida","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","145,407","3,956","10,503","47,595","35,757","13,175","21,552","12,869","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","2.7%","7.2%","32.7%","24.6%","9.1%","14.8%","8.9%","90.1%","23.7%"
"    Males","","","","","","","","","",""
"        Estimate","69,245","2,249","6,392","23,400","13,606","5,376","10,706","7,516","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","3.2%","9.2%","33.8%","19.6%","7.8%","15.5%","10.9%","87.5%","26.3%"
"    Females","","","","","","","","","",""
"        Estimate","76,162","1,707","4,111","24,195","22,151","7,799","10,846","5,353","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","2.2%","5.4%","31.8%","29.1%","10.2%","14.2%","7.0%","92.4%","21.3%"
"Citrus County, Florida","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","115,626","3,574","11,217","42,315","24,156","10,726","14,806","8,832","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","3.1%","9.7%","36.6%","20.9%","9.3%","12.8%","7.6%","87.2%","20.4%"
"    Males","","","","","","","","","",""
"        Estimate","54,059","2,297","6,645","17,973","10,854","4,360","8,268","3,662","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","4.2%","12.3%","33.2%","20.1%","8.1%","15.3%","6.8%","83.5%","22.1%"
"    Females","","","","","","","","","",""
"        Estimate","61,567","1,277","4,572","24,342","13,302","6,366","6,538","5,170","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","2.1%","7.4%","39.5%","21.6%","10.3%","10.6%","8.4%","90.5%","19.0%"
"Clay County, Florida","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","141,743","2,907","6,739","48,783","33,199","16,792","22,770","10,553","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","2.1%","4.8%","34.4%","23.4%","11.8%","16.1%","7.4%","93.2%","23.5%"
"    Males","","","","","","","","","",""
"        Estimate","68,058","1,341","3,316","24,514","15,058","6,826","11,272","5,731","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","2.0%","4.9%","36.0%","22.1%","10.0%","16.6%","8.4%","93.2%","25.0%"
"    Females","","","","","","","","","",""
"        Estimate","73,685","1,566","3,423","24,269","18,141","9,966","11,498","4,822","(X)","(X)"
